sentiment,source,length
positive,IMDB Review,128
negative,IMDB Review,54
positive,IMDB Review,229
positive,IMDB Review,99
negative,IMDB Review,251
positive,IMDB Review,151
positive,IMDB Review,53
negative,IMDB Review,118
positive,IMDB Review,77
positive,IMDB Review,467
positive,IMDB Review,146
positive,IMDB Review,144
negative,IMDB Review,124
positive,IMDB Review,57
positive,IMDB Review,174
negative,IMDB Review,572
negative,IMDB Review,162
negative,IMDB Review,113
positive,IMDB Review,133
negative,IMDB Review,128
positive,IMDB Review,358
negative,IMDB Review,283
negative,IMDB Review,336
negative,IMDB Review,185
positive,IMDB Review,76
negative,IMDB Review,151
negative,IMDB Review,377
positive,IMDB Review,270
negative,IMDB Review,128
negative,IMDB Review,344
positive,IMDB Review,680
negative,IMDB Review,233
negative,IMDB Review,149
positive,IMDB Review,262
negative,IMDB Review,421
negative,IMDB Review,35
negative,IMDB Review,197
positive,IMDB Review,160
negative,IMDB Review,187
positive,IMDB Review,358
positive,IMDB Review,788
positive,IMDB Review,554
negative,IMDB Review,993
negative,IMDB Review,352
negative,IMDB Review,135
positive,IMDB Review,166
positive,IMDB Review,108
positive,IMDB Review,169
positive,IMDB Review,332
negative,IMDB Review,286
positive,IMDB Review,710
positive,IMDB Review,412
negative,IMDB Review,283
positive,IMDB Review,152
negative,IMDB Review,75
positive,IMDB Review,753
negative,IMDB Review,280
negative,IMDB Review,207
positive,IMDB Review,120
positive,IMDB Review,82
negative,IMDB Review,36
negative,IMDB Review,342
negative,IMDB Review,232
negative,IMDB Review,138
positive,IMDB Review,238
positive,IMDB Review,54
positive,IMDB Review,262
positive,IMDB Review,145
negative,IMDB Review,184
positive,IMDB Review,139
positive,IMDB Review,296
positive,IMDB Review,48
negative,IMDB Review,304
negative,IMDB Review,193
positive,IMDB Review,272
negative,IMDB Review,150
positive,IMDB Review,90
positive,IMDB Review,479
negative,IMDB Review,202
negative,IMDB Review,371
positive,IMDB Review,245
positive,IMDB Review,237
negative,IMDB Review,186
positive,IMDB Review,170
positive,IMDB Review,419
negative,IMDB Review,141
positive,IMDB Review,134
negative,IMDB Review,681
positive,IMDB Review,399
negative,IMDB Review,122
negative,IMDB Review,18
negative,IMDB Review,116
negative,IMDB Review,60
negative,IMDB Review,187
positive,IMDB Review,200
negative,IMDB Review,639
negative,IMDB Review,307
negative,IMDB Review,406
negative,IMDB Review,158
negative,IMDB Review,403
positive,IMDB Review,210
negative,IMDB Review,521
positive,IMDB Review,98
positive,IMDB Review,206
positive,IMDB Review,177
negative,IMDB Review,154
positive,IMDB Review,348
negative,IMDB Review,220
negative,IMDB Review,354
negative,IMDB Review,179
positive,IMDB Review,720
negative,IMDB Review,122
positive,IMDB Review,522
positive,IMDB Review,175
positive,IMDB Review,61
positive,IMDB Review,215
positive,IMDB Review,185
negative,IMDB Review,310
positive,IMDB Review,130
negative,IMDB Review,414
negative,IMDB Review,181
negative,IMDB Review,194
negative,IMDB Review,178
negative,IMDB Review,166
positive,IMDB Review,130
negative,IMDB Review,81
negative,IMDB Review,122
positive,IMDB Review,329
positive,IMDB Review,101
negative,IMDB Review,140
positive,IMDB Review,283
positive,IMDB Review,638
positive,IMDB Review,184
negative,IMDB Review,653
positive,IMDB Review,396
negative,IMDB Review,303
negative,IMDB Review,125
positive,IMDB Review,70
positive,IMDB Review,161
negative,IMDB Review,142
negative,IMDB Review,664
negative,IMDB Review,212
positive,IMDB Review,180
positive,IMDB Review,243
positive,IMDB Review,249
negative,IMDB Review,66
positive,IMDB Review,58
negative,IMDB Review,255
negative,IMDB Review,185
negative,IMDB Review,264
negative,IMDB Review,680
positive,IMDB Review,128
positive,IMDB Review,385
positive,IMDB Review,407
negative,IMDB Review,205
negative,IMDB Review,277
positive,IMDB Review,369
negative,IMDB Review,213
positive,IMDB Review,190
negative,IMDB Review,71
positive,IMDB Review,92
positive,IMDB Review,173
negative,IMDB Review,190
negative,IMDB Review,119
positive,IMDB Review,364
positive,IMDB Review,346
negative,IMDB Review,323
negative,IMDB Review,142
positive,IMDB Review,63
positive,IMDB Review,403
positive,IMDB Review,194
positive,IMDB Review,207
negative,IMDB Review,212
negative,IMDB Review,167
negative,IMDB Review,146
negative,IMDB Review,217
positive,IMDB Review,993
negative,IMDB Review,194
positive,IMDB Review,123
positive,IMDB Review,171
negative,IMDB Review,133
positive,IMDB Review,230
positive,IMDB Review,145
negative,IMDB Review,85
positive,IMDB Review,232
negative,IMDB Review,126
positive,IMDB Review,162
negative,IMDB Review,154
negative,IMDB Review,156
negative,IMDB Review,137
negative,IMDB Review,159
negative,IMDB Review,883
positive,IMDB Review,140
negative,IMDB Review,115
positive,IMDB Review,190
positive,IMDB Review,361
negative,IMDB Review,391
negative,IMDB Review,354
positive,IMDB Review,60
positive,IMDB Review,116
negative,IMDB Review,355
negative,IMDB Review,856
negative,IMDB Review,151
positive,IMDB Review,317
negative,IMDB Review,101
positive,IMDB Review,471
negative,IMDB Review,155
negative,IMDB Review,65
positive,IMDB Review,59
positive,IMDB Review,83
positive,IMDB Review,89
positive,IMDB Review,139
negative,IMDB Review,164
negative,IMDB Review,126
negative,IMDB Review,51
negative,IMDB Review,230
positive,IMDB Review,169
positive,IMDB Review,127
negative,IMDB Review,68
negative,IMDB Review,351
negative,IMDB Review,119
negative,IMDB Review,349
negative,IMDB Review,131
negative,IMDB Review,166
positive,IMDB Review,246
negative,IMDB Review,187
positive,IMDB Review,152
negative,IMDB Review,421
negative,IMDB Review,126
positive,IMDB Review,402
negative,IMDB Review,133
negative,IMDB Review,93
negative,IMDB Review,128
positive,IMDB Review,1296
positive,IMDB Review,422
positive,IMDB Review,480
negative,IMDB Review,586
negative,IMDB Review,126
negative,IMDB Review,337
negative,IMDB Review,159
negative,IMDB Review,145
positive,IMDB Review,154
negative,IMDB Review,232
positive,IMDB Review,814
positive,IMDB Review,150
positive,IMDB Review,98
negative,IMDB Review,124
positive,IMDB Review,105
positive,IMDB Review,254
positive,IMDB Review,212
negative,IMDB Review,138
negative,IMDB Review,92
negative,IMDB Review,482
negative,IMDB Review,231
negative,IMDB Review,394
negative,IMDB Review,131
positive,IMDB Review,122
positive,IMDB Review,120
negative,IMDB Review,308
positive,IMDB Review,79
negative,IMDB Review,159
positive,IMDB Review,128
positive,IMDB Review,122
positive,IMDB Review,59
negative,IMDB Review,735
negative,IMDB Review,191
negative,IMDB Review,151
positive,IMDB Review,983
negative,IMDB Review,267
positive,IMDB Review,443
positive,IMDB Review,140
positive,IMDB Review,32
positive,IMDB Review,140
negative,IMDB Review,123
positive,IMDB Review,170
positive,IMDB Review,117
negative,IMDB Review,268
positive,IMDB Review,145
positive,IMDB Review,195
positive,IMDB Review,292
negative,IMDB Review,94
negative,IMDB Review,137
positive,IMDB Review,169
positive,IMDB Review,82
positive,IMDB Review,106
positive,IMDB Review,423
positive,IMDB Review,148
negative,IMDB Review,363
positive,IMDB Review,816
negative,IMDB Review,217
negative,IMDB Review,118
positive,IMDB Review,226
negative,IMDB Review,201
positive,IMDB Review,398
negative,IMDB Review,274
positive,IMDB Review,438
negative,IMDB Review,309
positive,IMDB Review,199
positive,IMDB Review,97
positive,IMDB Review,234
negative,IMDB Review,147
positive,IMDB Review,111
negative,IMDB Review,477
positive,IMDB Review,223
negative,IMDB Review,137
positive,IMDB Review,250
positive,IMDB Review,94
negative,IMDB Review,114
positive,IMDB Review,175
positive,IMDB Review,164
positive,IMDB Review,152
positive,IMDB Review,113
negative,IMDB Review,359
negative,IMDB Review,107
negative,IMDB Review,493
positive,IMDB Review,62
positive,IMDB Review,134
negative,IMDB Review,175
positive,IMDB Review,502
negative,IMDB Review,176
positive,IMDB Review,293
negative,IMDB Review,142
positive,IMDB Review,164
negative,IMDB Review,372
positive,IMDB Review,445
positive,IMDB Review,250
negative,IMDB Review,770
positive,IMDB Review,222
negative,IMDB Review,185
negative,IMDB Review,291
positive,IMDB Review,330
negative,IMDB Review,409
negative,IMDB Review,149
positive,IMDB Review,164
positive,IMDB Review,111
positive,IMDB Review,196
negative,IMDB Review,61
negative,IMDB Review,43
positive,IMDB Review,204
positive,IMDB Review,131
positive,IMDB Review,196
positive,IMDB Review,515
negative,IMDB Review,224
positive,IMDB Review,67
positive,IMDB Review,149
negative,IMDB Review,179
positive,IMDB Review,205
positive,IMDB Review,202
negative,IMDB Review,61
negative,IMDB Review,602
negative,IMDB Review,146
negative,IMDB Review,164
negative,IMDB Review,184
positive,IMDB Review,71
positive,IMDB Review,184
negative,IMDB Review,740
negative,IMDB Review,184
positive,IMDB Review,134
negative,IMDB Review,239
positive,IMDB Review,153
positive,IMDB Review,33
negative,IMDB Review,203
negative,IMDB Review,275
positive,IMDB Review,141
negative,IMDB Review,179
negative,IMDB Review,734
positive,IMDB Review,148
positive,IMDB Review,148
negative,IMDB Review,277
negative,IMDB Review,189
positive,IMDB Review,883
positive,IMDB Review,128
negative,IMDB Review,213
positive,IMDB Review,195
positive,IMDB Review,153
positive,IMDB Review,127
negative,IMDB Review,448
negative,IMDB Review,169
positive,IMDB Review,57
negative,IMDB Review,917
positive,IMDB Review,259
positive,IMDB Review,204
negative,IMDB Review,394
positive,IMDB Review,197
positive,IMDB Review,179
negative,IMDB Review,169
negative,IMDB Review,161
positive,IMDB Review,335
positive,IMDB Review,118
positive,IMDB Review,531
positive,IMDB Review,154
positive,IMDB Review,194
negative,IMDB Review,191
negative,IMDB Review,206
negative,IMDB Review,446
negative,IMDB Review,126
negative,IMDB Review,267
negative,IMDB Review,537
negative,IMDB Review,135
positive,IMDB Review,153
positive,IMDB Review,704
positive,IMDB Review,243
negative,IMDB Review,121
positive,IMDB Review,206
positive,IMDB Review,392
positive,IMDB Review,134
negative,IMDB Review,136
positive,IMDB Review,158
negative,IMDB Review,143
positive,IMDB Review,158
positive,IMDB Review,248
positive,IMDB Review,226
positive,IMDB Review,199
negative,IMDB Review,124
positive,IMDB Review,178
negative,IMDB Review,150
positive,IMDB Review,132
negative,IMDB Review,30
positive,IMDB Review,371
negative,IMDB Review,145
positive,IMDB Review,113
negative,IMDB Review,159
positive,IMDB Review,246
positive,IMDB Review,189
positive,IMDB Review,171
negative,IMDB Review,132
positive,IMDB Review,139
positive,IMDB Review,123
negative,IMDB Review,438
negative,IMDB Review,146
negative,IMDB Review,149
negative,IMDB Review,241
positive,IMDB Review,76
negative,IMDB Review,147
negative,IMDB Review,179
negative,IMDB Review,158
positive,IMDB Review,256
positive,IMDB Review,207
negative,IMDB Review,191
positive,IMDB Review,264
negative,IMDB Review,107
positive,IMDB Review,272
negative,IMDB Review,489
negative,IMDB Review,99
negative,IMDB Review,221
negative,IMDB Review,129
negative,IMDB Review,130
negative,IMDB Review,197
negative,IMDB Review,164
positive,IMDB Review,63
positive,IMDB Review,137
negative,IMDB Review,262
positive,IMDB Review,114
negative,IMDB Review,117
negative,IMDB Review,66
positive,IMDB Review,251
negative,IMDB Review,274
positive,IMDB Review,51
positive,IMDB Review,131
positive,IMDB Review,72
negative,IMDB Review,133
negative,IMDB Review,183
negative,IMDB Review,349
positive,IMDB Review,205
positive,IMDB Review,152
negative,IMDB Review,253
positive,IMDB Review,61
positive,IMDB Review,367
negative,IMDB Review,373
positive,IMDB Review,199
positive,IMDB Review,103
negative,IMDB Review,114
positive,IMDB Review,450
positive,IMDB Review,127
positive,IMDB Review,179
negative,IMDB Review,168
positive,IMDB Review,278
positive,IMDB Review,120
positive,IMDB Review,285
positive,IMDB Review,488
positive,IMDB Review,271
positive,IMDB Review,514
negative,IMDB Review,127
positive,IMDB Review,253
positive,IMDB Review,168
positive,IMDB Review,276
negative,IMDB Review,145
negative,IMDB Review,244
positive,IMDB Review,195
positive,IMDB Review,89
positive,IMDB Review,191
positive,IMDB Review,537
negative,IMDB Review,190
positive,IMDB Review,423
positive,IMDB Review,110
positive,IMDB Review,206
negative,IMDB Review,220
positive,IMDB Review,170
positive,IMDB Review,66
positive,IMDB Review,76
positive,IMDB Review,104
negative,IMDB Review,640
positive,IMDB Review,397
positive,IMDB Review,138
negative,IMDB Review,127
negative,IMDB Review,444
negative,IMDB Review,254
negative,IMDB Review,331
positive,IMDB Review,89
positive,IMDB Review,232
negative,IMDB Review,195
negative,IMDB Review,120
positive,IMDB Review,51
negative,IMDB Review,204
positive,IMDB Review,136
positive,IMDB Review,134
positive,IMDB Review,205
positive,IMDB Review,140
negative,IMDB Review,192
positive,IMDB Review,181
negative,IMDB Review,130
positive,IMDB Review,60
negative,IMDB Review,228
positive,IMDB Review,185
negative,IMDB Review,123
negative,IMDB Review,248
positive,IMDB Review,155
positive,IMDB Review,123
negative,IMDB Review,154
positive,IMDB Review,187
positive,IMDB Review,66
negative,IMDB Review,131
positive,IMDB Review,216
positive,IMDB Review,213
negative,IMDB Review,79
positive,IMDB Review,660
negative,IMDB Review,251
positive,IMDB Review,77
negative,IMDB Review,225
negative,IMDB Review,128
positive,IMDB Review,47
positive,IMDB Review,39
negative,IMDB Review,126
positive,IMDB Review,128
positive,IMDB Review,366
negative,IMDB Review,188
positive,IMDB Review,130
negative,IMDB Review,300
positive,IMDB Review,32
positive,IMDB Review,331
positive,IMDB Review,295
positive,IMDB Review,275
negative,IMDB Review,502
positive,IMDB Review,161
negative,IMDB Review,123
negative,IMDB Review,171
negative,IMDB Review,375
negative,IMDB Review,129
negative,IMDB Review,134
negative,IMDB Review,46
negative,IMDB Review,126
positive,IMDB Review,258
negative,IMDB Review,181
negative,IMDB Review,80
positive,IMDB Review,162
positive,IMDB Review,162
positive,IMDB Review,191
positive,IMDB Review,315
positive,IMDB Review,226
positive,IMDB Review,320
negative,IMDB Review,171
positive,IMDB Review,159
positive,IMDB Review,120
positive,IMDB Review,136
positive,IMDB Review,122
negative,IMDB Review,350
negative,IMDB Review,112
positive,IMDB Review,149
negative,IMDB Review,82
negative,IMDB Review,121
negative,IMDB Review,160
negative,IMDB Review,255
negative,IMDB Review,131
positive,IMDB Review,81
positive,IMDB Review,782
positive,IMDB Review,198
positive,IMDB Review,416
positive,IMDB Review,234
positive,IMDB Review,174
negative,IMDB Review,433
negative,IMDB Review,119
negative,IMDB Review,213
positive,IMDB Review,258
negative,IMDB Review,52
positive,IMDB Review,186
positive,IMDB Review,338
positive,IMDB Review,798
positive,IMDB Review,301
negative,IMDB Review,143
negative,IMDB Review,53
positive,IMDB Review,292
negative,IMDB Review,175
positive,IMDB Review,275
negative,IMDB Review,92
negative,IMDB Review,111
positive,IMDB Review,160
positive,IMDB Review,118
positive,IMDB Review,129
positive,IMDB Review,342
negative,IMDB Review,139
negative,IMDB Review,96
negative,IMDB Review,495
positive,IMDB Review,175
negative,IMDB Review,599
negative,IMDB Review,138
negative,IMDB Review,261
positive,IMDB Review,420
negative,IMDB Review,65
positive,IMDB Review,111
negative,IMDB Review,109
positive,IMDB Review,535
positive,IMDB Review,321
negative,IMDB Review,108
positive,IMDB Review,321
positive,IMDB Review,155
positive,IMDB Review,143
positive,IMDB Review,304
positive,IMDB Review,143
positive,IMDB Review,247
positive,IMDB Review,167
positive,IMDB Review,121
positive,IMDB Review,138
positive,IMDB Review,143
negative,IMDB Review,46
positive,IMDB Review,122
negative,IMDB Review,134
negative,IMDB Review,176
positive,IMDB Review,174
positive,IMDB Review,145
positive,IMDB Review,149
positive,IMDB Review,204
positive,IMDB Review,126
negative,IMDB Review,100
negative,IMDB Review,133
positive,IMDB Review,423
positive,IMDB Review,34
negative,IMDB Review,138
negative,IMDB Review,420
negative,IMDB Review,352
positive,IMDB Review,336
negative,IMDB Review,117
negative,IMDB Review,197
negative,IMDB Review,257
negative,IMDB Review,320
negative,IMDB Review,254
negative,IMDB Review,176
positive,IMDB Review,393
negative,IMDB Review,124
negative,IMDB Review,142
negative,IMDB Review,136
negative,IMDB Review,114
positive,IMDB Review,416
positive,IMDB Review,377
positive,IMDB Review,269
positive,IMDB Review,95
positive,IMDB Review,158
negative,IMDB Review,249
negative,IMDB Review,115
negative,IMDB Review,509
positive,IMDB Review,66
negative,IMDB Review,142
positive,IMDB Review,180
positive,IMDB Review,216
negative,IMDB Review,70
negative,IMDB Review,308
negative,IMDB Review,215
negative,IMDB Review,615
negative,IMDB Review,130
negative,IMDB Review,184
negative,IMDB Review,136
positive,IMDB Review,110
positive,IMDB Review,112
negative,IMDB Review,125
negative,IMDB Review,135
positive,IMDB Review,257
positive,IMDB Review,135
positive,IMDB Review,148
positive,IMDB Review,515
positive,IMDB Review,134
negative,IMDB Review,216
negative,IMDB Review,346
positive,IMDB Review,83
positive,IMDB Review,157
positive,IMDB Review,546
negative,IMDB Review,195
positive,IMDB Review,965
negative,IMDB Review,46
negative,IMDB Review,144
positive,IMDB Review,321
negative,IMDB Review,165
positive,IMDB Review,389
negative,IMDB Review,132
negative,IMDB Review,144
positive,IMDB Review,295
negative,IMDB Review,113
negative,IMDB Review,434
positive,IMDB Review,365
negative,IMDB Review,438
negative,IMDB Review,351
negative,IMDB Review,66
negative,IMDB Review,151
negative,IMDB Review,62
negative,IMDB Review,142
positive,IMDB Review,71
positive,IMDB Review,63
positive,IMDB Review,197
positive,IMDB Review,766
positive,IMDB Review,111
positive,IMDB Review,706
positive,IMDB Review,117
negative,IMDB Review,314
positive,IMDB Review,89
positive,IMDB Review,288
positive,IMDB Review,42
positive,IMDB Review,152
positive,IMDB Review,134
positive,IMDB Review,106
negative,IMDB Review,394
negative,IMDB Review,140
positive,IMDB Review,235
positive,IMDB Review,71
positive,IMDB Review,309
positive,IMDB Review,213
positive,IMDB Review,125
negative,IMDB Review,920
negative,IMDB Review,142
negative,IMDB Review,147
negative,IMDB Review,112
positive,IMDB Review,186
negative,IMDB Review,96
negative,IMDB Review,131
negative,IMDB Review,46
negative,IMDB Review,190
positive,IMDB Review,824
positive,IMDB Review,79
negative,IMDB Review,55
positive,IMDB Review,153
negative,IMDB Review,121
negative,IMDB Review,196
positive,IMDB Review,133
negative,IMDB Review,164
negative,IMDB Review,118
negative,IMDB Review,136
positive,IMDB Review,184
negative,IMDB Review,51
positive,IMDB Review,481
negative,IMDB Review,206
positive,IMDB Review,251
positive,IMDB Review,283
negative,IMDB Review,70
negative,IMDB Review,142
positive,IMDB Review,192
positive,IMDB Review,108
positive,IMDB Review,229
positive,IMDB Review,105
negative,IMDB Review,194
negative,IMDB Review,61
positive,IMDB Review,139
negative,IMDB Review,135
negative,IMDB Review,79
negative,IMDB Review,189
positive,IMDB Review,305
negative,IMDB Review,473
negative,IMDB Review,104
negative,IMDB Review,438
positive,IMDB Review,937
negative,IMDB Review,89
positive,IMDB Review,245
negative,IMDB Review,167
negative,IMDB Review,320
negative,IMDB Review,128
negative,IMDB Review,349
positive,IMDB Review,171
positive,IMDB Review,170
positive,IMDB Review,430
negative,IMDB Review,225
positive,IMDB Review,268
positive,IMDB Review,100
positive,IMDB Review,132
negative,IMDB Review,164
positive,IMDB Review,151
negative,IMDB Review,114
negative,IMDB Review,471
negative,IMDB Review,147
negative,IMDB Review,220
positive,IMDB Review,111
negative,IMDB Review,129
negative,IMDB Review,133
negative,IMDB Review,137
positive,IMDB Review,282
negative,IMDB Review,234
positive,IMDB Review,378
positive,IMDB Review,49
positive,IMDB Review,236
positive,IMDB Review,248
negative,IMDB Review,135
negative,IMDB Review,144
negative,IMDB Review,365
positive,IMDB Review,67
negative,IMDB Review,131
positive,IMDB Review,149
positive,IMDB Review,169
positive,IMDB Review,232
negative,IMDB Review,120
positive,IMDB Review,122
positive,IMDB Review,133
positive,IMDB Review,169
negative,IMDB Review,157
positive,IMDB Review,199
negative,IMDB Review,146
positive,IMDB Review,203
positive,IMDB Review,118
positive,IMDB Review,149
positive,IMDB Review,162
positive,IMDB Review,372
positive,IMDB Review,170
negative,IMDB Review,154
positive,IMDB Review,331
positive,IMDB Review,132
positive,IMDB Review,83
positive,IMDB Review,195
positive,IMDB Review,132
negative,IMDB Review,150
positive,IMDB Review,850
negative,IMDB Review,189
positive,IMDB Review,744
positive,IMDB Review,147
positive,IMDB Review,100
positive,IMDB Review,53
negative,IMDB Review,168
positive,IMDB Review,149
positive,IMDB Review,83
